GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "06007","Butte, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",352188,381579,415603,461533,536861,630119,699800,766349,861046,974489,1130623,1321327,1467012,1532373,1647991,1801550,1945601,2078259,2247596,2466028,2660747,2872522,3056106,3237077,3336713,3476118,3584303,3790496,4008690,4195559,4388974,4708483,5102640,5243959,5481124,5827903,6028351,6459357,6807003,6966490,7003765,7254896,7394936,7606689,7807319,8138129,8782120,9126674,9423550,9718118,9925301,10793250,11566169,11255350,11828606,12748115
 "06007","Butte, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",101057,102682,105916,112775,113223,117295,121626,125377,129470,131797,138531,144828,148451,151913,154263,156791,160680,163233,166970,171909,176583,183652,187678,190409,192831,194648,196083,196327,197994,199993,201282,203807,206193,209120,211481,213065,214752,216824,217469,219034,219777,219883,219639,220257,220755,222355,223198,224502,226704,228059,216181,210222,206351,207384,207354,208334
 "06007","Butte, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3485,3716,3924,4093,4742,5372,5754,6112,6651,7394,8162,9123,9882,10087,10683,11490,12109,12732,13461,14345,15068,15641,16284,17001,17304,17858,18280,19307,20247,20979,21805,23103,24747,25076,25918,27353,28071,29791,31301,31806,31868,32994,33669,34536,35366,36600,39347,40653,41568,42612,45912,51342,56051,54273,57045,61191
 "06009","Calaveras, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",48367,53990,57281,65528,73443,80152,90631,103094,116195,137840,155293,186819,211073,224444,254799,295716,327325,354721,394815,438780,513475,557643,592534,626136,663652,684831,713262,773835,811260,884276,943714,1047345,1150560,1211801,1299263,1372152,1429613,1530682,1624320,1669181,1633360,1669670,1689688,1668101,1673573,1759276,1897268,1967729,2060809,2126248,2265563,2454936,2624840,2611368,2749333,2978686
 "06009","Calaveras, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",13328,13658,13918,14241,14798,15185,15205,15694,16709,18301,19777,20916,21700,22778,23530,24196,24870,25854,27194,28248,30071,32542,34023,35233,35943,37073,37700,38441,39098,39581,40000,40645,41304,42380,43755,44530,45295,46045,46268,46265,45900,45442,45033,44588,44328,44246,44440,44674,44923,44911,45181,45350,46262,46544,46580,46505
 "06009","Calaveras, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3629,3953,4116,4601,4963,5278,5961,6569,6954,7532,7852,8932,9727,9854,10829,12222,13161,13720,14518,15533,17075,17136,17416,17771,18464,18473,18919,20130,20749,22341,23593,25768,27856,28594,29694,30814,31562,33243,35107,36079,35585,36743,37521,37411,37754,39761,42693,44046,45874,47344,50144,54133,56739,56105,59024,64051
 "06011","Colusa, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",71938,70572,73203,81932,108333,152063,140803,92610,122237,125226,153981,181954,191848,172909,166580,197577,231416,214342,247450,271303,299602,303951,307188,333069,367886,364273,393817,421064,425089,406343,480746,484777,469915,464369,540103,543271,555046,574216,676757,806840,865727,863987,860642,782405,842509,741237,838573,891925,896350,986398,971525,1232273,1306611,1264194,1354203,1360993
 "06011","Colusa, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",12334,12416,12350,12161,12241,12426,12620,12833,12764,12707,12939,12875,13184,13872,14109,14159,14701,14930,14972,15494,16004,16335,16572,16834,16997,17252,17584,17909,18262,18419,18620,18817,19022,19232,19568,20207,20540,20890,21075,21134,21250,21442,21350,21338,21331,21276,21356,21653,21762,21622,21735,21868,21931,21952,22093,22074
 "06011","Colusa, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5832,5684,5927,6737,8850,12237,11157,7217,9577,9855,11901,14132,14552,12465,11807,13954,15742,14356,16528,17510,18720,18607,18537,19785,21644,21115,22396,23511,23277,22061,25819,25763,24704,24146,27601,26885,27023,27488,32112,38177,40740,40294,40311,36667,39497,34839,39266,41192,41189,45620,44699,56351,59578,57589,61296,61656
 "06013","Contra Costa, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2787828,2977495,3207997,3523498,3825193,4297142,4837131,5410096,6028523,6863527,7829899,9059934,10184628,10948825,12013184,13310476,14459457,15624118,16812595,18449985,19923349,21204615,22143343,23884638,25014117,26046809,27607041,29674879,32141174,34954114,37686611,42806127,45391841,45064007,46373658,49180066,51823485,55795766,58024913,59622773,55964412,56462776,61049539,65948405,66250960,69479371,75811060,80449066,86335914,91160536,93567981,102439116,110305857,112103932,118755806,126945239
